CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL87823	139394	CHEMBL87823	139394		table 1 ID 51	402.56	5.87	26.3	1	COc1ccc2cc(ccc2c1)C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3	1471121	Ki	=	50.12	nM	7.3	Log Ki	=	-7.3				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL1642988	1057487	CHEMBL1739690	1118741		24	424.63	6.46	7.76	1	[Br-].[Br-].CC(C)(C)c1cc[n+](\C=C/2\CC3=C\C(=C\[n+]4ccc(cc4)C(C)(C)C)\CC=C3C=C2)cc1	5120469	Ki	=	100	nM	7	Ki	=	.1	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	699909	CHEMBL1646128	B	Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	54696	CHEMBL1641598	21144749	Bioorg. Med. Chem. Lett.	2011	21	1	150					
CHEMBL222856	373287	CHEMBL11805	9492		2	666.99	7.65	65.56	2	COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccccc2OC.OC(=O)C(=O)O	1840614	Ki	=	104	nM	6.98	Ki	=	104	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	430033	CHEMBL917209	B	Inhibition of human recombinant AChE	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	35297	CHEMBL1149275	15588084	J. Med. Chem.	2004	47	26	6490					
CHEMBL362711	313601	CHEMBL362711	313601		table 1 ID 27	452.64	6.33	35.53	1	COc1cc2cc(sc2cc1OC)C(=O)CC3CCCC[N+](C)(Cc4ccccc4)CC3	1470961	Ki	=	109.65	nM	6.96	Log Ki	=	-6.96				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL187603	314361	CHEMBL187603	314361		table 1 ID 61	456.63	4.1	55.76	0	COc1cc2CC(Sc2cc1OC)C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3	1471258	Ki	=	190.55	nM	6.72	Log Ki	=	-6.72				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL465028	458442	CHEMBL465028	458442		33	363.46	4.12	38.77	0	COc1cc2C\C(=C/c3ccc(CN4CCCC4)cc3)\C(=O)c2cc1OC	12601999	Ki	=	198.49	nM	6.7	Ki	=	198.49	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	931327	CHEMBL3069984	B	Binding affinity to acetylcholinesterase (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	71444	CHEMBL3046949		Med Chem Res	2013	22	5	2328					
CHEMBL95	9333	CHEMBL95	9333	TACRINE	Tacrine	198.27	2.7	38.91	0	Nc1c2CCCCc2nc3ccccc13	15013272	Ki	=	225	nM	6.65	Ki	=	.225	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1447985	CHEMBL3379811	B	Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	90668	CHEMBL3351824	25089370	J. Med. Chem.	2014	57	16	7073					
CHEMBL185799	313597	CHEMBL185799	313597		table 1 ID 23	378.49	4.34	35.53	0	COc1cc2C=C(C3CC[N+](C)(Cc4ccccc4)CC3)C(=O)c2cc1OC	1470837	Ki	=	251.19	nM	6.6	Log Ki	=	-6.6				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL659	27639	CHEMBL659	27639	GALANTAMINE	4	287.36	1.85	41.93	0	COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24	3423608	Ki	=	300	nM	6.52	Ki	=	.3	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	651480	CHEMBL1227597	B	Inhibition of AChE by Ellman's assay	1	Scientific Literature				Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	8	Homologous protein			52370	CHEMBL1221246	20655219	Bioorg. Med. Chem. Lett.	2010	20	17	5290					
CHEMBL92629	150210	CHEMBL92629	150210		table 1 ID 15	321.42	4.15	41.3	0	C(Nc1noc2ccccc12)C3CCN(Cc4ccccc4)CC3	1470821	Ki	=	323.59	nM	6.49	Log Ki	=	-6.49				0				304008	CHEMBL877109	B	Binding affinity towards Acetylcholinesterase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	21147	CHEMBL1138798	15481986	J. Med. Chem.	2004	47	22	5492					
CHEMBL474577	458517	CHEMBL474577	458517		36	339.44	3.36	38.77	0	COc1cc2CC(Cc3cccc(CN(C)C)c3)C(=O)c2cc1OC	12601996	Ki	=	524.99	nM	6.28	Ki	=	524.99	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	931327	CHEMBL3069984	B	Binding affinity to acetylcholinesterase (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	71444	CHEMBL3046949		Med Chem Res	2013	22	5	2328					
CHEMBL1222025	688457	CHEMBL1222025	688457		36	391.42	2.61	68.23	0	O[C@H]1C=C2CCN3Cc4cc5OCOc5cc4[C@H]([C@@H]1OC(=O)c6ccccc6)[C@@H]23	3423613	Ki	=	540	nM	6.27	Ki	=	.54	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	651480	CHEMBL1227597	B	Inhibition of AChE by Ellman's assay	1	Scientific Literature				Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	8	Homologous protein			52370	CHEMBL1221246	20655219	Bioorg. Med. Chem. Lett.	2010	20	17	5290					
CHEMBL3401209	1831408	CHEMBL3401209	1831408		14c	198.22	1.09	55.45	0	CC(C)C1=CC(=O)N(O1)C(=O)N(C)C	15164402	Ki	=	561	mM/min		Ki	=	561	mM/min		Non standard unit for type	0	BAO_0000192			1464963	CHEMBL3404668	B	Inhibition of recombinant human AChE	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	91094	CHEMBL3399922	25684426	Bioorg. Med. Chem.	2015	23	6	1321					
CHEMBL473962	458641	CHEMBL473962	458641		43	365.47	3.9	38.77	0	COc1cc2CC(Cc3ccc(CN4CCCC4)cc3)C(=O)c2cc1OC	12601989	Ki	=	772.65	nM	6.11	Ki	=	772.65	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	931327	CHEMBL3069984	B	Binding affinity to acetylcholinesterase (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	71444	CHEMBL3046949		Med Chem Res	2013	22	5	2328					
CHEMBL182251	302243	CHEMBL182251	302243		18	383.44	2.72	57.23	0	COc1cc2CC(Oc3cccc(CN4CCOCC4)c3)C(=O)c2cc1OC	12602014	Ki	=	793.14	nM	6.1	Ki	=	793.14	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	931327	CHEMBL3069984	B	Binding affinity to acetylcholinesterase (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	71444	CHEMBL3046949		Med Chem Res	2013	22	5	2328					
CHEMBL3913078	2122449	CHEMBL3913078	2122449		BDBM185736	394.48	3.12	98.38	0	CN(CCc1ccccc1)C2CCc3ncc(cc3C2)\N=C(/O)\C(=N\O)\C(=O)C	17713314	Ki	=	1108	nM	5.96	Ki	=	1108	nM	335096		0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1640656	CHEMBL3887379	B	Enzyme Inhibition Assay: Accordingly Ki is for uninhibited AChE. The higher the number, the less the native enzyme is inhibited by the reactivator compound, which is what one desires to achieve: reactivation of the inhibited AChE but little inhibition of native enzyme activity.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	8	Homologous protein			102681	CHEMBL3886296			2015								
CHEMBL181125	302172	CHEMBL181125	302172		9	383.49	4.29	48	0	CCN(CC)C(C)c1ccc(OC2Cc3cc(OC)c(OC)cc3C2=O)cc1	12602023	Ki	=	1330	nM	5.88	Ki	=	1330	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	931327	CHEMBL3069984	B	Binding affinity to acetylcholinesterase (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	71444	CHEMBL3046949		Med Chem Res	2013	22	5	2328					
CHEMBL601282	597675	CHEMBL1198321	672271		30	341.48	4.34	35.58	0	Cl.CCN(CC)CCNC(=O)N1c2ccccc2Sc3ccccc13	3128728	Ki	=	16300	nM	4.79	Ki	=	16.3	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	613958	CHEMBL1068998	B	Inhibition of human recombinant AChE by modified Ellman's spectrophotometric method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	49733	CHEMBL1157634	20181484	Bioorg. Med. Chem.	2010	18	6	2232					
CHEMBL3819574	2091420	CHEMBL3819574	2091420		24	377.48	4.28	38.77	0	COc1cccc(CN2CCC(CC2)\C=C\3/Cc4cccc(OC)c4C3=O)c1	16620217	Ki	=	17230	nM	4.76	Ki	=	17.23	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1586616	CHEMBL3821971	B	Non-competitive inhibition of human erythrocytes AchE using acetylthiocholine iodide as substrate incubated for 20 mins by Lineweaver-Burk plot analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	99636	CHEMBL3817803	27190595	ACS Med. Chem. Lett.	2016	7	5	470					
CHEMBL592624	597560	CHEMBL592624	597560		9	234.19	2.08	61.83	0	COC(=O)C1=C(C)OP(=O)(CCC1)OC	3119860	Ki	=	76000	nM	4.12	Ki	=	76	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	613427	CHEMBL1069538	B	Inhibition of human AChE assessed as equilibrium binding by modified Ellman's spectrophotometric method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein	COesterase	high	49746	CHEMBL1157647	20189400	Bioorg. Med. Chem.	2010	18	6	2265					
CHEMBL242932	391591	CHEMBL242932	391591		30	346.23	4.79	34.14	0	FC(F)(F)c1ccc(cc1)C(=O)C(=O)c2ccc(cc2)C(F)(F)F	1942280	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	443530	CHEMBL893787	B	Inhibition of human AChE	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			36499	CHEMBL1147944	17399985	Bioorg. Med. Chem.	2007	15	11	3801					
CHEMBL1812852	1167879	CHEMBL1812852	1167879		7	317.18	3.5	34.14	0	BrC(C(=O)C(=O)Cc1ccccc1)c2ccccc2	6317231	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	762145	CHEMBL1816216	B	Inhibition of human acetylcholinesterase using acetylthiocholine as substrate by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			58561	CHEMBL1811796	21733699	Bioorg. Med. Chem.	2011	19	15	4635					
CHEMBL190496	321132	CHEMBL190496	321132		61	230.33	3.14	17.07	0	[O-][S+](Cc1ccccc1)Cc2ccccc2	1504853	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303216	CHEMBL829841	B	Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL191739	321195	CHEMBL191739	321195		25	458.02	4.09	120.42	0	[O-][N+](=O)c1cc(ccc1Br)C(=O)C(=O)c2ccc(Br)c(c2)[N+](=O)[O-]	1503788	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303216	CHEMBL829841	B	Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL193180	321011	CHEMBL193180	321011		13	318.17	3.59	34.14	0	Fc1cc(cc(F)c1F)C(=O)C(=O)c2cc(F)c(F)c(F)c2	1503523	Ki	>	100000	nM		Ki	>	100000	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303216	CHEMBL829841	B	Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL2367723	1542174	CHEMBL2367723	1542174		21	166.22	1.58	34.14	0	CC1(C)[C@@H]2CC[C@]1(C)C(=O)C2=O	1998152	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	451018	CHEMBL900099	B	Inhibition of human acetylcholinesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			37157	CHEMBL1138234	17941623	J. Med. Chem.	2007	50	23	5727					
CHEMBL435109	321083	CHEMBL435109	321083		22	270.28	2.77	52.6	0	COc1cccc(c1)C(=O)C(=O)c2cccc(OC)c2	1503773	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303216	CHEMBL829841	B	Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL426562	371746	CHEMBL426562	371746		19	280.33	2.85	49.41	0	CCc1ccc(NCN2C(=O)C(=O)c3ccccc23)cc1	1829906	Ki	>	100000	nM		Ki	>	100	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429506	CHEMBL918629	B	Inhibition of human AChE	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	93	CHEMBL220	SINGLE PROTEIN	P22303	Acetylcholinesterase	Homo sapiens	9	Protein			35258	CHEMBL1144473	17378546	J. Med. Chem.	2007	50	8	1876					
